# 未使用数据(仅供参考，非批次文件)
# 这里是当前剩余、尚未进入任何批次的评论。
# 每次运行 01_sampling_data.py 后本文件会被刷新。


[ID:记永远得忆] [rating:1] 玩三个月了,第一个给一星.三个月,充了好多钱,一直坚持,结果出一个嘉年华,别人一天顶我三个月.这游戏怎么玩.根本就不公平.

[ID:天堂的尘埃] [rating:1] 暗改游戏.这游戏真是我见过最牛逼的策划,各种暗改不说,嘉年华130一天顶玩家4个月努力,从4月底我每天买满参战卡,句芒碎片不及嘉年华一天500+,牛逼,一星差评,垃圾游戏.

[ID:anananer-] [rating:1] 其实真的很喜欢这款游戏.但是这次嘉年华真的死心了,玩百来天不如别人一天

[ID:，凝眸……] [rating:1] 别人两天顶我4个月.抓妖两万八,满资只抓仨广州嘉联华,遍地三十加灵力无限给,满资一球抓只要两小时,全部毕业拉抓妖无上限,云纹随便刷半天百来万,顶我半月抓充钱全喂狗,策划都④马

[ID:送你无限妈卖批] [rating:1] 一星可能会迟到绝不会缺席.恭喜策划和运营为谋私利出卖自己的人格凭自己的真实力获得广大玩家的一致差评祝你们年年有今日岁岁有今朝

[ID:文远路] [rating:1] 一起来弃游.广州嘉年华一日顶人四个月还玩个蛇皮.

[ID:ouxifs] [rating:1] 垃圾游戏,策划死马.嘉年华一天抵我游戏4个月还多,一天妖灵毕业你敢信,

[ID:CHSB……] [rating:1] 心凉...地域性游戏,努力四个月不如广州两小时

[ID:你华爸爸] [rating:1] 一起去广州.本来挺好一游戏,强行被策划搞蹦,成了广州人的游戏

[ID:的啊截图永远] [rating:1] 抓妖两万八,满资只抓仨广州嘉联华,遍地三十加灵力无限给,满资一球抓只要两小时,全部毕业拉抓妖无上限,云纹随便刷半天百来万,顶我半月抓充钱全喂狗,策划都④马.抓妖两万八,满资只抓仨广州嘉联华,遍地三十加灵力无限给,满资一球抓只要两小时,全部毕业拉抓妖无上限,云纹随便刷半天百来万,顶我半月抓充钱全喂狗,策划都④马

[ID:不善言辞的猫] [rating:1] 非常坑的游戏.未入坑的人千万不要来了就是圈钱的游戏

[ID:molojige] [rating:1] 没有见过比这个游戏更地域歧视的了.出了个广独活动,我玩了几个月的游戏抵不过广州人一天,还有什么能玩下去的呢.

[ID:小呀小小猪ABC] [rating:1] 策划简直了.抓妖两万八,满资只抓仨广州嘉联华,遍地三十加灵力无限给,满资一球抓只要两小时,全部毕业拉抓妖无上限,云纹随便刷半天百来万,顶我五月抓

[ID:去广州抓妖] [rating:1] shabi策划.抓妖两万八,满资只抓仨广州嘉联华,遍地三十加灵力无限给,满资一球抓只要两小时,全部毕业拉抓妖无上限,云纹随便刷半天百来万,顶我半月抓充钱全喂狗,策划都④马

[ID:匹马玩意] [rating:1] 难过.5.20内幕,配猫,最先配出来的地址都一样,同一个人卖…受不了,吃相难看,策划赚外快,曝光,虚假

[ID:唐唐159753369741852] [rating:1] 够策划.抓妖两万八,满资只抓仨广州嘉联华,遍地三十加灵力无限给,满资一球抓只要两小时,全部毕业拉抓妖无上限,云纹随便刷半天百来万,顶我半月抓充钱全喂狗,策划都④马

[ID:石家庄不得不说吧] [rating:1] 这是我这辈子玩过最垃圾的游戏.玩过这个游戏的都知道,从某次开始,策划每隔2-3天干出一件骇人听闻的故事,这个游戏外挂也玩不下去,只有广东人才能玩的游戏

[ID:熊丶Sama] [rating:1] 一个嘉年华,一天抵我4个月努力.chsm

[ID:linzhenyanggege] [rating:1] linzhenyanggege.linzhenyanggege

[ID:百家号份感情] [rating:1] 一起去广东捉妖..垃圾策划,严重影响游戏平衡

[ID:海贼熊] [rating:1] 一场嘉年华败掉一个游戏.本来没怎么在意嘉年华活动,晚上看了论坛顿时无法理解腾讯怎么会有如此低水平的游戏策划团队.

[ID:KingTunSaber] [rating:1] 地域歧视特别是农村.这游戏是叫做一起去广州.

[ID:不再神奇] [rating:1] 辛辛苦苦一百二十多天,不如人家一天.从一起来抢摊,到一起来广州捉妖.这4个月不知道在图啥

[ID:睡个觉t] [rating:1] 嘉年华活动真好.次次活动礼包买完,天天参战卡三张,灵石活动买唤灵器,大太阳跑出去打神灵.还比不上人家今天一次嘉年华来的多,垃圾游戏

[ID:dejcybrjcyvriycvrjycb] [rating:1] 嘉年华两小时抵一年.嘉年华两小时抵一年甚至还不止,那些没去的人知道了后都很不满意,再加上卖盖章,都不知道怎么说策划的脑子了,或者它根本不存在

[ID:毛毛很皮呀] [rating:1] 一起来广州.名为(一起来捉妖)这款手游,开发商为深圳市腾讯计算机系统有限公司.在游戏官方特定的地点,本次为广州,以举办嘉年华为噱头与广州融创游乐场合作,实则圈钱.本次活动只有在广州买票之后,在广州特定的地点才能享受,而其他地区却没有实行,严重地域差别,侵犯了其他地区玩家的权益,古今中外还没有一-个游戏有这种地域差别,游戏官方所谓的嘉年华就是自己修改游戏数据然后以跟游乐场合作用票的形式卖给玩家,跟卖挂给有何区别,这难道叫自产自销吗?

[ID:一个曾经的捉妖迷] [rating:3] 一起来广州.你还在每天打神灵么.你还在每天找星移一次限定的伙伴.你还担心没超资妖么.不用怕,只要来广州,不用一个月,不用一个星期,也不用一天,只要2小时全部毕业.广州欢迎您.论广州嘉联华抓妖两万八,满资只抓仨广州嘉联华,遍地三十加灵力无限给,满资一球抓只要两小时,全部毕业拉抓妖无上限,云纹随便刷半天百来万,顶我半月抓充钱全喂狗,策划***兄嘚想开啥呢想开点说不定你哪天辛辛苦苦赚的砖石买到的高资还特么是人家广州运来的呢有

[ID:UID1296914] [rating:1] 广州嘉年华搞的好呀.全国玩家看别人捉,搞的好呀

[ID:发热了困难啦] [rating:1] 垃圾.@幻觉即视感：抓妖两万八,满资只抓仨广州嘉联华,遍地三十加灵力无限给,满资一球抓只要两小时,全部毕业拉抓妖无上限,云纹随便刷半天百来万,顶我半月抓充钱全喂狗,策划都sima

[ID:UUHHGTYG] [rating:1] 策划你全家必si.不死不是你ma的亲儿子什么玩意

[ID:辣几策hua] [rating:1] 炒鸡好的游戏.是不是看到5星评论很开心.傻币策划,嘉年华圈钱,我就想知道这游戏是人玩的呢,还是钱玩的.前面擂台被偷,摊位抢不过挂,后面星移烂大街,嘉年华一天比得上我一个4月11号玩到现在的人,没开过挂,嘉年华却有官方挂,呵呵一笑.只许州官放火不许百姓点灯.辣几游戏,不玩也罢

[ID:☽☽𓆧𓃻𓆟𓆏𓆟𓆟☽☽] [rating:5] 新手过来看.你还在每天打神灵么.你还在每天找星移一次限定的伙伴.你还担心没超资妖么.不用怕,只要来广州,不用一个月.不用一个星期,也不用一天,只要2小时全部毕业.广州欢迎您.论广州嘉联华抓妖两万八,满资只抓仁广州嘉联华,遍地三十加灵力无限给,满资一球抓只要两小时,全部毕业拉抓妖无上限,云纹随便刷半天百来万,顶我半月抓充钱全喂狗,策划***兄嗨想开啥呢想开点说不定你哪天辛辛苦苦赚的砖石买到的高资还特么是人家广州运来的呢

[ID:杉杉杉诶] [rating:1] 游戏运营和策划有重大问题嗷.运营方面更新的提前通知内容少得可怜,得玩家自己到处挖,策划方面不多说,130元加路费不等即可一天玩爆一款养成游戏

[ID:暗影随鎩] [rating:1] 该游戏涉嫌私售数据.130一位,让你两天超越四个月的成果

[ID:一直卡魔拉住] [rating:1] 退游了.真的恶心我这个游戏,腾讯是根本放弃这个游戏了吧

[ID:月无殺] [rating:1] 地域歧视.其他地区的玩家不配玩,不如改名叫一起来广州捉妖

[ID:欧皇小可爱] [rating:1] 2019年8月17日,嘉年华一小时,比普通玩家4个月都毕业.游戏很棒,很有趣,活动也很好,特别是最近的嘉年华活动,玩4个月在嘉年华一天就比我4个月NB了,每天肝云纹一天就几万嘉年华一天100百万云纹太棒了,活动很棒,希望多出点这样的活动,也希望大家多多支持一起来广州.像我们这样的小城市,不配玩捉妖这样的高贵游戏.抓妖两万八,满资只抓仨广州嘉联华,遍地三十加灵力无限给,满资一球抓只要两小时,全部毕业拉抓妖无上限,云纹随便刷半天百来万,顶我半月抓充钱全喂狗,天美避着走

[ID:u 韩国 vv 哈哈哈] [rating:1] 垃圾游戏,花200rmb参加现实活动.直接满级满装备,满资妖灵遍地抓

[ID:Tony东尼] [rating:1] 四个月一万块,不如广州两天300块.拜拜了👋

[ID:这软件非常好用真的你全家都爆炸了] [rating:1] 一起来广州.你还在每天打神灵么.你还在每天找星移一次限定的伙伴.你还担心没超资妖么.不用怕,只要来广州,不用一个月,不用一个星期,也不用一天,只要2小时全部毕业.广州欢迎您.论广州嘉联华抓妖两万八,满资只抓仨广州嘉联华,遍地三十加灵力无限给,满资一球抓只要两小时,全部毕业拉抓妖无上限,云纹随便刷半天百来万,顶我半月抓充钱全喂狗,策划sima兄嘚想开啥呢想开点说不定你哪天辛辛苦苦赚的砖石买到的高资还特么是人家广州运来的呢有其他城市房间的转发一下谢谢.

[ID:泊爵1989] [rating:1] 一抓40天不如一张票.辛苦40天,不如人家一天活动

[ID:合计哈哈哈哈哈何苦] [rating:1] 一起去广州捉妖.呵呵,我们一起开飞机去广州吧

[ID:kdndhdjdjjdmd] [rating:1] 广州人来捉妖.从来没见过一个游戏把玩家逼到这样的,算了,退游了,虽然是心血,但是再见了,开服老玩家走了,各位玩好

[ID:哪吒都气死了] [rating:1] 无语的游戏.不用来玩了,要几个月抵不过人家买张票要一个下午🙃🙃🙃玩锤子....

[ID:沙口等你回来] [rating:1] 抓妖两万八,满资只抓仨广州嘉联华,遍地三十加灵力无限给,满资一球抓只要两小时,全部毕业拉抓妖无上限,云纹随便刷半天百来万,顶我半月抓充钱全喂狗,策划都死妈.抓妖两万八,满资只抓仨广州嘉联华,遍地三十加灵力无限给,满资一球抓只要两小时,全部毕业拉抓妖无上限,云纹随便刷半天百来万,顶我半月抓充钱全喂狗,策划都死妈

[ID:天美死加123] [rating:1] 垃圾游戏.花钱就当给策划买棺材了,只求他死

[ID:your1扣了饿了积极] [rating:1] 嘉年华.别人玩一天,比我玩一年还牛气,很不错,很垃圾

[ID:依然无伤] [rating:1] 垃圾游戏.抓妖两万八,满资只抓仨广州嘉联华,遍地三十加灵力无限给,满资一球抓只要两小时,全部毕业拉抓妖无上限,云纹随便刷半天百来万,顶我半月抓充钱全喂狗,策划都死妈

[ID:迎风飘蛋] [rating:1] 垃圾游戏,圈钱.抓妖两万八,满资只抓仨广州嘉联华,遍地三十加灵力无限给,满资一球抓只要两小时,全部毕业拉抓妖无上限,云纹随便刷半天百来万,顶我半月抓充钱全喂狗,策划都死妈

[ID:毅 丛] [rating:1] 这个游戏应该叫做,一起来广州来捉妖.本来是一个休闲,养成游戏,现在变成了区域性游戏,让那些花了时间,花了银子的人怎么想,有考虑其他玩家的想法吗,我觉得一星都给高了,虽然这一票并没什么多大影响,多我一个不多少我一个不少.

[ID:super001z] [rating:1] 垃圾游戏.抓妖两万八,满资只抓仨广州嘉联华,遍地三十加灵力无限给,满资一球抓只要两小时,全部毕业拉抓妖无上限,云纹随便刷半天百来万,顶我五月抓

[ID:你的你爸爸啊] [rating:1] 司马侧滑.我只能说这游戏侧滑是他么沙比届的奇才,垃圾东西,除了骂的还是骂的

[ID:hdjxnssnz] [rating:1] 游戏要凉凉.抓妖两万八,满资只抓仨广州嘉联华,遍地三十加灵力无限给,满资一球抓只要两小时,全部毕业拉抓妖无上限,云纹随便刷半天百来万,顶我半月抓充钱全喂狗,策划都死马

[ID:没油迷城] [rating:1] 策划不行.各种bug,各种运营不成熟,这游戏不推荐,已经退款

[ID:𡀔] [rating:1] 听说又是内部人员搞鬼..听说内部人员卖签章了.

[ID:玩游戏十几年见过最垃圾的游戏] [rating:1] 垃圾游戏垃圾策划.抓妖两万八,满资只抓仨广州嘉联华,遍地三十加灵力无限给,满资一球抓只要两小时,全部毕业拉抓妖无上限,云纹随便刷半天百来万,顶我五月抓

[ID:不如人111] [rating:1] 玩几个月都不如广州抓几只.有地域歧视一样,游戏不建议下载

[ID:外研社点读书] [rating:1] 策划脑壳进翔了.从来没见过哪个游戏凉这么快.肝3个月,46级.一个广州嘉年华,实力劝退全国各地玩家,毫无公平可言,这已经不是钱的问题了,120块谁没有..

[ID:捉妖策划的爹] [rating:1] 你是广州人吗.不是.那你不配玩我们高贵的游戏.广州来捉妖.高贵的天龙人130块钱顶外地人几万块钱.四个月的努力高贵的天龙人一下午就全部搞定啦.谁玩这个游戏谁沙比.

[ID:同村的咯们] [rating:1] 广州欢迎你.欢迎大家来玩一起来广州捉妖,不是广州的就别下了,你不配

[ID:除北上广以外全是穷乡僻壤] [rating:1] 名字干脆改名叫一起去广州吧.抓妖两万八,满资只有三广州嘉年华,遍地三十加灵力无限给,满资一球抓只要两小时,全部毕业啦抓妖无上限,云纹顺便刷半天百来万,顶我五月抓这游戏没搞头,现在就想圈钱,新boss只有广州有,一天40只满资,没意思了,这游戏后面就是有钱人玩的了

[ID:一个热爱捉妖的玩家] [rating:1] 广州嘉年华活动事故.策划脑子有问题.玩了4个月不如人家新号玩一天...玩我们呢.你把所有玩家当傻子啊..

[ID:策划s马] [rating:1] 别酸了,补偿你们50海量云纹还不行�/笑哭啊..抓妖两万八,满资只抓仨广州嘉联华,遍地三十加灵力无限给,满资一球抓只要两小时,全部毕业拉抓妖无上限,云纹随便刷半天百来万,顶我五月抓

[ID:红光路十三少] [rating:1] 就是差评不解释.自己好好反省一下.还不懂为什么给差评.

[ID:嘻嘻小姐姐jj，] [rating:1] 极品垃圾游戏,勿入.先是随便世界禁言,禁止一切交易,然后开始举报立封号,充钱到现在小五千,举报一下等我半个月,半个月后起来开始悠闲玩,策划开启”广州都是我爹”系列活动,所有神灵广州人再抓一遍,这次嘉年华,一天抓四十个满资质,包括神灵,不限制抓的数量,几个月的肝顶不过广州爹,垃圾游戏坐等凉凉.

[ID:兽人抓乳乳] [rating:1] 因嘉年华活动来给的评价.ChSM..策划是真的恶心人

[ID:策划四个马] [rating:1] 差评.为什么给一星是因为最低就是一星,这游戏策划脑子有毛病,广州的捉妖.圈钱就圈钱你还搞嘉年华.一起去广州.捉妖在广州.广州来捉妖.

[ID:放你远航] [rating:1] 这个完全是是坑钱的.你玩几个月,冲几千块钱,比不上一次嘉年华活动.

[ID:sndnchjcmf] [rating:1] 去广州一起吗..真的是垃圾,垃圾策划改凉了吧,一手天牌被你打成💩,真厉害.

[ID:Dan Sir Master] [rating:1] chnmsl.这次的广州嘉年华,已经充分展现了,ch的亲妈已经暴毙

[ID:tzhida] [rating:1] 垃圾游戏.垃圾游戏对得起氪金的.搞个垃圾活动

[ID:麻烦把钱退给我] [rating:1] 垃圾游戏,浪费时间和钱财.1游戏天天暗改,还不要脸的说不存在,把玩家当傻子,2策划每次活动都在劝退老玩家,新玩家根本玩不下去.3游戏中百分之九十都是外挂,官方已经默认了.4游戏存在地域歧视,你不在广州怎么玩.

[ID:苹果XScale] [rating:1] 辣鸡游戏辣鸡策划.广州来捉妖,一天900妖,百万云纹,妖灵全毕业,几个小时顶你肝四个月,够忙碎片一天500多订你屯几个月的票,呼吁大家别再傻了,不要再充钱了,不要花了时间金钱最后被人当儍仔,充那么多钱顶不住130的门票,策划司个马先.

[ID:大鱼没了海棠] [rating:1] 广州来捉妖.130的门票,抵玩家辛辛苦苦步行几个月的劳动成果.策划你寺吗了.

[ID:白小狐℃] [rating:1] 广州嘉年华.广州嘉年华过后,一星,别问为什么.

[ID:很好的一个圈] [rating:1] 游戏玩不下去了.广州来捉妖,一天900妖,百万云纹,妖灵全毕业,几个小时顶你肝四个月,够忙碎片一天500多订你屯几个月的票,呼吁大家别再傻了,不要再充钱了,不要花了时间金钱最后被人当儍仔,充那么多钱顶不住130的门票,策划司个马先.

[ID:松下江泽民] [rating:1] 实力劝退.一波广州嘉年华实力劝退每个老玩家,别人充几千上万的钱,你这游戏一波广州线下活动,让新手只花几百元追上我们这些花费成千上万的玩家,策划实力劝退,拜拜了,祝你早日凉凉

[ID:拼肝抓妖] [rating:1] 广州花都会.辛辛苦苦几个月,冲钱拼肝的抓怪刷boss,几个月的成果,居然一天内被反超了...体验感极差...

[ID:匿名的那个人] [rating:1] 垃圾游戏,废物策划.玩四个月抵不上广州一个下午.你全家爆炸

[ID:鬼昵称，滚] [rating:1] 垃圾.这次的活动想必老玩家心里有数了,不仅卸了,我还要骂,cnmd,lj游戏lj策划

[ID:嘉年华牛逼] [rating:1] 广州嘉年华.真的很无语,肝了四个月还不如人家一天,这高资质也太轻松了,高资质我可以忍受,神行无限灵力抓怪,送勾芒铃铛,线上玩家勾芒怎么来的六块一张票肝出来的,三百多次团战不如广州半天,广州勾芒怎么来的满地捡的,有什么意思,不是广州人不配玩捉妖.

[ID:你耳啊] [rating:1] 垃圾游戏别人玩一天顶我们玩4个月.垃圾中的垃圾

[ID:我说你会觉得幸福] [rating:1] 其实我一颗星都不想给.原因大家都知道.辣鸡游戏辣鸡策划.为什么这种游戏还不被下架.完全就是骗人钱财.其它的不多说了.

[ID:dfhjggg] [rating:1] 策划有没有脑子..你天天活动嘉年华都在广东.你让哈尔滨的怎么办.天天飞过去参加你130块钱的门票啊.吃住飞都不要钱的吗...自己在广东玩吧,为广东人专门打造的游戏.

[ID:墨墨影子] [rating:1] 一起来广州.真好,真香,嘉年华一天胜百天,游戏太优秀了,神一样策划,谁玩谁知道

[ID:不是广州人] [rating:1] 一起来广州.垃圾策划,这是我玩游戏这么多年唯一一次这么失望的游戏.老子钱都喂了狗

[ID:tyzsll] [rating:1] 死命肝仨月不如嘉年华一天,官网偷偷卖嘉年华签章给外挂党,谁玩谁s,b.死命肝仨月不如嘉年华一天,官网偷偷卖嘉年华签章给外挂党,谁玩谁s,b

[ID:ebollii] [rating:1] 这个游戏的CH是我玩过的游戏中最垃圾的.各种bug,各种内幕,外挂不封,把普通玩家像猴子一样耍.

[ID:无敌飞机票] [rating:1] 没玩过的千万别玩.你是广州人吗.不是就别玩.玩了10几年游戏,第一次遇到这么垃圾的策划,地域歧视.你肝一年都没人家两小时来的多

[ID:狗策划si妈] [rating:1] 狗策划.让广州的人玩去吧.策划好好舔你广州爹.垃圾嘉年华活动.奋斗了四个月抓的,收的妖比不上你嘉年华现场一个下午抓的.呵呵.死妈策划.

[ID:睿智CH] [rating:1] 神奇的游戏.我花了4个月和那么多钱来玩,还不如买一张100多的门票玩一下午.

[ID:小子股ｕｈ] [rating:1] 外地人不配玩.太垃圾了,一个嘉年华弃游多少人,呵呵

[ID:幽冥狮] [rating:1] 这游戏是真的垃圾..搞个广州嘉年华,弄的什么玩意.我们辛辛苦苦又充钱又花时间玩了4个多月.你一个活动我们全白费了.6块一张卷打一个神灵,嘉年华活动到好神灵满地跑抓不过不说,还个个超高资质.垃圾游戏,退钱退钱

[ID:秦6688] [rating:1] 一起去广州吗..为啥去广州啊.哦官方活动,好多满资哎凭什么啊.说了,官方活动哎哦

[ID:aa1226988781] [rating:1] 嘉年华活动.一个嘉年华活动.捉妖没上限,一天一千只起步,还bug一堆.很多飞机在无限刷云纹卡bug都不管.还说什么全场禁飞,垃圾废物游戏

[ID:djsuhejks] [rating:1] 一起去广州.玩你吗呢.改成一起去广州多好对吧,玩了几个月不如人家一个下午.我就是酸了.怎么了.

[ID:ein表白云墙] [rating:1] 无下限的一款游戏.官方开私服不是广州人别玩

[ID:天之陌] [rating:1] 嘉年华一天顶三个月..本来是个好游戏,如果可以我一颗星都不想给

[ID:ATM阿特慢] [rating:1] chacha游戏.辣鸡肝了几个月被ch劝退

[ID:你你最晚什么时候可以] [rating:1] 今天的嘉年华真的策划快辞职吧着急给你妈骨灰拌饭...垃圾策划

[ID:13865983599] [rating:1] 垃圾游戏.一个好好的地下游戏,把游戏弄成了广州来捉妖,什么破游戏,从开服开始玩,一直到到现在,最起码有4个月了,捉到的东西还不如今天去一趟广州,什么破游戏,根本完不成,我建议把游戏名字改成广州来捉妖.

[ID:ii大明] [rating:1] 垃圾游戏,4个月不如嘉年华1天.策划全家暴毙喂狗

[ID:无尽之剑 …？] [rating:1] 广州人来捉妖..肝几个月氪几千,比不上嘉年华广州130玩一下午.神策划.

[ID:一起去广州捉妖] [rating:1] 垃圾游戏.从公测开始玩,现在真的巴不得它倒闭,出活动只针对地区,活动时间也不考虑玩家感受,游戏后期玩起来一点乐趣都没有,出个活动直接就和开挂一样,简直就是不想要人玩下去

[ID:策划私吗] [rating:1] 一起来广州捉妖,ye好开心.真的6一天广州抵上几个月,牛b,策划你妈必死

[ID:了急功近利kul] [rating:1] 为什么只有广东有活动.嘉年华活动为什么只有广东有.一天的云纹抵我们4个月.这游戏还怎么玩.

[ID:该好好过发达国家] [rating:1] 嘉年华一天顶我之前全部..这嘉年华的一天抵我之前肝的冲的.服了

[ID:NanGe1104] [rating:1] 一起去广州玩私服.真的垃圾.嘉年华线下开私服玩你吗

[ID:突兀可以] [rating:1] 从来没有见过这么破坏平衡的游戏.官方搞个活动发发啥福利没意见,结果开了个私服,一刀9,所有全部可以毕业,我觉得普通玩家一年都比不上人家一天.这不是严重破坏游戏平衡性是什么.第一次见到游戏还可以这么玩的.厉害

[ID:Alone 泽] [rating:5] 给五星是让别人看到我的评论.嘉年华活动.顶我们几个月的努力.一条的云纹高资,Boss几十只.想想我以前顶着风雨抓妖真特么的傻.卸载了.谢谢

[ID:风舞星痕] [rating:1] 辣鸡游戏.脑子是个好东西可惜策划没有,玩了后悔,玩也别冲钱就对了

[ID:玩家1646464] [rating:1] 充值130元玩半天等于正常玩家玩4个月.嘉年华活动130元等于你玩4个月充值10元,你喜欢陪跑没,喜欢陪玩么,喜欢充值氪金肝之后还被人虐么.来一起捉妖吧

[ID:风雨同舟！在] [rating:1] 垃圾游戏.垃圾游戏,sb策划作死,直接卖猫卖妖灵.

[ID:WayToForword] [rating:1] 垃圾策划垃圾游戏.说实话,不是酸不酸的问题,也不是钱的问题,老子玩这游戏充的钱比你那门票多的多,辛辛苦苦四个月当不了别个一天,cnm真的太恶心了.运营的啥破玩意儿

[ID:臭阿111111] [rating:1] 满姿金灵.地域歧视,4月11号玩到现在8月17抓了几个月,还不如人家广州8月17号抓一天的.

[ID:真好，用的放心。] [rating:5] 非常好玩的游戏.封妖以后生活变得非常有趣,就是希望策划哥哥能多给点全32的妖精,么么哒小哥哥,希望能看到吧

[ID:AABB1215] [rating:1] 可玩性低.作为一个游戏内容是很单调的没哪方便是突出的至于让人出门这个完全就是鸡肋

[ID:悄悄AAzz] [rating:5] 削尼马金灵.之前版本的金灵童子伤确实太爆炸一刀下去连克制他的肉盾都是死,所以削点很正常,但他好歹也是万米灵石里0.8%概率的超稀有妖灵吧,你们把他的伤害足足削了70％.我试了一下原来同样的金灵同样的一刀,本来能砍出8千多,现在才2千多,你们怎么不让他烂大街的当个普通妖灵呢.你削一半我都忍了,你丫说风来风,说雨来雨把我们玩家当傻子耍是吧.这是个好游戏,但没个好策划

[ID:Adsryjbfy] [rating:5] 理性看待一起来捉妖.理性来说还是不错的一款游戏,是国内第一款ar收集类游戏,轻氪,可以佛系也可以肝,主要看脸.游戏初期确实弊病很多,但作为一名老玩家看来,这款游戏也和玩家们一起在成长.

[ID:巧克力''] [rating:5] 给几个洞穴妖满资好吗..可不可以来个满资金灵.

[ID:李新华哥的车] [rating:1] 不好玩的游戏,巨坑钱的软件,腾讯的败笔,马化腾的悲哀.游戏没意思,标准的氪金游戏,没深度,建议下架.

[ID:利利Ls啦啦啦啦] [rating:5] 抓了一万只没有一只满资.能不能给一只满资.

[ID:大沥马骝] [rating:5] 很喜欢这个游戏.很喜欢这个游戏天天玩住很好玩很喜欢.

[ID:有意无意说] [rating:1] 抄袭《精灵宝可梦》..这个游戏明显抄袭《精灵宝可梦》,作为三岁的时候就看《精灵宝可梦》的我绝对饶不了你......

[ID:龙上恋0801] [rating:2] 未知应用如何处理..我是在这里下载的游戏,不是第三方下的,为什么邀请好友上线,提示未知应用的应用请求.给个解决方案

[ID:策划脑袋呢？？？] [rating:1] 这游戏叫广州人的一起来捉妖.不得不说,这游戏真是坑.才公测四个月大部分人就退游了...原因是什么可能大家都知道.撒比策划...每次活动都在广州...可能广州是他亲爹.还有就是乱封号...多人举报就封号..哈哈哈.奉劝没有下载的人千万别下载..

[ID:您patagmgjatdtmgwgwjgmtmt] [rating:1] 改名字吧一起来广东.整个嘉年华也在广东什么活动都在广东让我们弃坑的意思吗.真的改名字吧一起来广东别的地区把账号都永久封了吧

[ID:策划大撒闭] [rating:1] 检测系统是吃粑粑的.这游戏坑到什么程度,开个充钱活动,让你使劲充钱,活动一过,瞎鸡儿封号,神行打擂台,被打的那个打不过你就举报你,系统也不查实就乱封号,就当充的钱喂了狗,失望透顶.

[ID:纂鞋] [rating:5] 打个五星来吐槽下吧.最开始是被我哥带着玩的本着休闲的玩法但我玩游戏一有活动就会充钱充了钱却发现几次活动下来几百个10km灵石开的全他妈是垃圾不是兔子就是羊你家开养殖场的啊.还有就是我家的鼓就那么一个妖也就那么三只神行出去一天灵力用完了就没了这游戏现在摊位都不用抢知道为啥不因为已经凉了懂不.后面神灵都还没出游戏已经凉了吃相又难看整天搞活动给那些没充钱的人出货充了钱的人晾一边我再被你骗钱我就是傻子弃坑不解释垃圾游戏难怪凉的快

[ID:...rain...] [rating:1] 垃圾游戏.真是个垃圾游戏可玩性太低摆摊系统垃圾抢擂台机制弱智

[ID:一起来退游] [rating:1] 早晚凉.现在神行打擂台都变成GPS定位异常了.

[ID:一起捉垃圾] [rating:1] 垃圾游戏.本人为46级弃游玩家,个人游戏体验：垃圾.祝尽快倒闭.

[ID:无法开口的捉妖师] [rating:1] 弃坑准备中.被工作室攻击随便就被禁言很无奈完全看不出审查的态度

[ID:奶黄蛋挞] [rating:3] 重要原因.外挂太多了,大厅聊天都是外挂的内容,商品抢不过外挂,在这里你没开挂才奇怪

[ID:给你虐X5] [rating:1] 已卸载.满天都是外挂,用游戏自带的神行打擂台被封号,每天好多人都在弃游,本人已经弃游3天,游戏是好游戏,让策划给玩坏了

[ID:酱油党1] [rating:1] 这个游戏叫一起来举报.隔壁区的跑我们区闹事打擂台相隔30多公里,神行秒到（打完又回到自己区了反复很多次）.傻子都知道是飞机吧,又是私聊辱骂又是刷喇叭的,仗着人多集体举报,现在我们很多人都被封了.

[ID:徐家禧] [rating:1] 垃圾.進都進不去進去太歲流量啊中途到一半就卡住了😡😤😡😤😡😤😡😤😡😤😡😤😡😤😡😤😡😤😡😤😡😤😡😤😡😤😡🤬😡😤🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬😡😡😤😡🤬😤😡🤬😤😡🤬😤😡🤬😤😡🤬😤😡🤬😤😡🤬😤😡🤬😤😡🤬😤😡🤬😤😡🤬😤

[ID:bnmnjdkkkdkddk] [rating:1] 辣鸡游戏.全是外挂辅助外挂游戏公司处罚力度很低基本不闻不问游戏体验极差充完钱就想退款千万别玩

[ID:lepoyu] [rating:1] 垃圾游戏.全是工作室在里面,交易系统崩塌,大量用户退游,好好想想自己为什么会这样

[ID:灵岳] [rating:3] 弃坑了.开始玩着还行,后面越来越枯燥,每天就是扔球扔球扔球..

[ID:呵呵5426] [rating:1] 无语..擂台有了记录之后,我居然被私聊挑衅..连着一大片都被一个圈的人占领了不管第一还是第二,我就去打个第二名就被私聊挑衅,简直无语.难道游戏制作商没想过个人的隐私吗..搞个擂台记录给谁看啊.

[ID:玩过不想玩了] [rating:1] 垃圾游戏,灵石专属就是骗钱的..骗钱游戏

[ID:噢Ono] [rating:1] 游戏运营不好,暗改高资概率.无论灵石还是日常,高资概率暗改.已经对这游戏失望

